town,flat_type,floor_area_sqm,remaining_lease_months,resale_price,distanceWithMrt,distanceWithRaffles,distanceWithGdPri
ANG MO KIO,4 ROOM,92,684,415000,1368.202496,9803.267518,461.8716205
ANG MO KIO,4 ROOM,92,703,390000,704.0352574,10161.33153,1685.551814
ANG MO KIO,4 ROOM,90,985,613000,393.6362062,9534.263729,1393.317234
ANG MO KIO,4 ROOM,90,985,626000,393.6362062,9534.263729,1393.317234
ANG MO KIO,4 ROOM,93,757,390000,320.0965846,9886.59075,1660.390558
ANG MO KIO,4 ROOM,95,1016,633000,722.8095643,9053.585928,1140.691782
ANG MO KIO,4 ROOM,90,1016,505000,722.8095643,9053.585928,1140.691782
ANG MO KIO,4 ROOM,90,962,560000,727.989111,8899.577254,1283.350687
ANG MO KIO,4 ROOM,95,962,623000,629.9578188,8949.942684,1218.277108
ANG MO KIO,4 ROOM,90,978,675000,270.9485407,9789.341898,1793.34935
ANG MO KIO,4 ROOM,90,976,590000,232.2751865,9797.489579,1729.256217
ANG MO KIO,4 ROOM,90,1080,725000,459.9814049,9802.6408,1937.304727
ANG MO KIO,5 ROOM,126,860,598888,1189.041187,9274.205259,950.2338514
ANG MO KIO,5 ROOM,119,710,545000,849.710801,9851.008211,1989.421476
ANG MO KIO,5 ROOM,119,708,530000,904.4278567,9891.385503,1943.295137
ANG MO KIO,5 ROOM,118,713,473000,832.2350982,9949.354519,2047.755813
ANG MO KIO,5 ROOM,123,677,605000,376.9413399,9211.720368,1386.570796
ANG MO KIO,5 ROOM,133,898,759000,900.7134248,10524.05534,592.7831666
ANG MO KIO,5 ROOM,118,708,540000,461.7190829,9978.380982,1686.050293
ANG MO KIO,5 ROOM,110,1017,811800,722.8095643,9053.585928,1140.691782
ANG MO KIO,5 ROOM,110,962,658000,691.7310658,8920.582497,1272.537321
ANG MO KIO,5 ROOM,110,977,805000,232.2751865,9797.489579,1729.256217
ANG MO KIO,5 ROOM,112,1080,828000,459.9814049,9802.6408,1937.304727
ANG MO KIO,5 ROOM,111,976,622000,232.2751865,9797.489579,1729.256217
ANG MO KIO,EXECUTIVE,144,897,795000,1215.264026,9885.197449,543.209023
BEDOK,2 ROOM,45,695,215000,611.2287201,10158.70918,394.2984137
BEDOK,2 ROOM,44,682,197000,764.0797431,10644.8015,357.4180811
BEDOK,2 ROOM,44,682,215000,764.0797431,10644.8015,357.4180811
BEDOK,3 ROOM,67,689,275000,567.2884784,9803.109617,793.2333048
BEDOK,3 ROOM,67,695,273000,789.277459,9998.736417,556.0684298
BEDOK,3 ROOM,67,694,270000,603.9310164,10199.33297,524.0904836
BEDOK,3 ROOM,67,687,320000,510.3484085,10057.33738,634.6143265
BEDOK,3 ROOM,67,695,3.00E+05,692.935745,10520.0034,336.0240738
BEDOK,3 ROOM,67,687,265000,797.0047673,11246.51672,527.172334
BEDOK,3 ROOM,67,672,280000,657.980204,10869.94276,251.2217271
BEDOK,3 ROOM,59,678,235000,492.1868569,11227.8393,1033.262544
BEDOK,3 ROOM,82,672,285000,618.4204804,10885.82999,222.1819145
BEDOK,3 ROOM,59,677,245000,474.8405796,11216.90593,1064.591451
BEDOK,3 ROOM,59,681,230000,474.8405796,11216.90593,1064.591451
BEDOK,3 ROOM,73,681,285000,815.3758892,10948.05166,412.9083504
BEDOK,3 ROOM,59,677,220000,474.8405796,11216.90593,1064.591451
BEDOK,3 ROOM,67,682,262000,819.5034506,10894.98523,822.0821083
BEDOK,3 ROOM,68,702,260000,595.3007435,9706.612481,984.992449
BEDOK,3 ROOM,59,681,232000,526.5811777,10469.09936,228.73272
BEDOK,3 ROOM,59,681,235000,607.0684015,10323.43332,308.746214
BEDOK,3 ROOM,67,696,265000,436.2488455,10297.67776,325.0748251
BEDOK,3 ROOM,68,701,275000,706.4326479,9803.351332,870.5165147
BEDOK,3 ROOM,69,775,3.00E+05,783.869194,9824.205002,809.4923699
BEDOK,3 ROOM,68,706,265000,633.0620955,10112.5122,452.6862192
BEDOK,3 ROOM,70,680,265000,557.2199935,10419.38963,255.7552642
BEDOK,3 ROOM,68,696,245000,684.8876771,10060.53043,612.5326054
BEDOK,3 ROOM,67,697,237000,516.3049555,10355.28097,226.3863861
BEDOK,3 ROOM,68,706,257000,609.3931491,9454.589926,1148.672026
BEDOK,3 ROOM,66,1118,450000,421.8255408,9723.358764,1199.780517
BEDOK,3 ROOM,66,1117,493000,383.9686162,9696.106856,1260.220263
BEDOK,3 ROOM,66,1115,483000,421.8255408,9723.358764,1199.780517
BEDOK,3 ROOM,81,720,330000,291.5030985,9054.011715,1704.768687
BEDOK,3 ROOM,68,711,285000,338.8815748,9595.963543,1519.08852
BEDOK,3 ROOM,60,780,210000,54.17668803,9264.955519,1594.55027
BEDOK,3 ROOM,68,719,273000,492.2847816,9750.999421,1090.794121
BEDOK,3 ROOM,68,780,285000,54.17668803,9264.955519,1594.55027
BEDOK,3 ROOM,82,719,330000,521.3729293,9813.70366,1106.015108
BEDOK,3 ROOM,68,729,280000,446.9335622,8873.186799,1586.853859
BEDOK,3 ROOM,64,786,275000,478.636502,8878.76748,1467.19622
BEDOK,3 ROOM,68,719,275000,521.3729293,9813.70366,1106.015108
BEDOK,3 ROOM,68,716,266000,363.4472463,8961.337385,1675.167508
BEDOK,3 ROOM,68,719,278000,492.2847816,9750.999421,1090.794121
BEDOK,3 ROOM,68,719,285000,534.1178782,9808.733956,1069.63995
BEDOK,3 ROOM,68,715,278000,146.9174325,9205.345669,1595.052838
BEDOK,3 ROOM,67,729,3.00E+05,608.0820229,8708.654395,1424.568097
BEDOK,3 ROOM,82,719,3.00E+05,534.1178782,9808.733956,1069.63995
BEDOK,3 ROOM,73,670,3.00E+05,343.7908039,10039.67625,1198.935189
